name,subtext,price,rating,stock
Brlo Berliner Weisse,Sour Beer | 4.0% | 33 cl,£ 33.99,(3.15),out of stock
Fourpure Juicebox Citrus IPA,IPA | 5.9% | 33 cl,£ 39.99,(3.82),in stock
Petrus Blond,Blond Beer | 6.5% | 33 cl,£ 40.99,(3.34),in stock
Maisel & Friends Hoppy Hell,Lager | 5.3% | 33 cl,£ 33.99,(3.76),out of stock
Steamworks Killer Cucumber Ale,Pale Ale | 4.7% | 33 cl,£ 36.99,(3.41),out of stock
Brouwerij Noordt Noordtsingle,Lager | 4.5% | 33 cl,£ 36.99,(3.52),out of stock
Gulpener Château Neubourg,Pilsner & Hoppy Lager | 5.5% | 33 cl,£ 36.99,(3.26),out of stock
La Chouffe Blonde D'ardenne,Blond Beer | 8.0% | 33 cl,£ 40.99,(3.89),in stock
Beavertown Neck Oil,IPA | 4.3% | 33 cl,£ 49.99,(3.75),out of stock
Murphy's Irish Stout,Porter & Stout | 4.0% | 50 cl,£ 59.76,(3.51),out of stock
Peroni Nastro Azzurro,Lager | 5.1% | 33 cl,£ 36.99,(3.14),out of stock
Jopen Jacobus RPA,Pale Ale | 5.5% | 33 cl,£ 36.99,(3.48),out of stock
Bintang,Lager | 4.7% | 33 cl,£ 36.99,(2.00),out of stock
Red Stripe,Lager | 4.7% | 33 cl,£ 36.99,none,out of stock
Ninkasi Pale Ale,Amber & Red Ale | 4.5% | 33 cl,£ 41.99,(3.43),in stock
Beavertown Gamma Ray,Pale Ale | 5.4% | 33 cl,£ 53.99,(3.90),out of stock
Fourpure Last Train Oatmeal Stout,Porter & Stout | 5.1% | 33 cl,£ 39.99,(3.63),in stock
Pistonhead Amber,Amber & Red Ale | 6.0% | 33 cl,£ 36.99,none,out of stock
Hertog Jan Grand Prestige,Barley Wine | 10.0% | 30 cl,£ 36.99,(3.83),out of stock
Dupont Saison,Saison Beer | 6.5% | 33 cl,£ 59.99,(3.78),in stock
